author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
ID 9734212,real_estate_agent,https://www.cian.ru/sale/flat/305867066/,Москва,sale,flat,2,22,2,58.8,18800000,-1,-1,-1,-1,-1,"32,6 м²","11,1 м²",+79167110176,Тимирязевский,Дмитровское шоссе,55,Петровско-Разумовская,
Эталон,developer,https://www.cian.ru/sale/flat/303391898/,Москва,sale,flat,10,31,2,43.2,24437060,2025,-1,"Монолитно-кирпичный, монолитный",-1,Без отделки,"23,1 м²","5,1 м²",+74951387063,Даниловский, Петра Кончаловского,7к2,Технопарк,Shagal
А101,developer,https://www.cian.ru/sale/flat/306745511/,Москва,sale,flat,6,9,2,37.4,7178870,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,4 м²","16,7 м²",+74951375220,,,2,Толстопальцево,Родные кварталы ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306787848/,Москва,sale,flat,9,15,2,62.9,35500000,2022,-1,-1,-1,-1,"31,3 м²","15,4 м²",+79660623833,Раменки,Винницкая ,8к4,Раменки,Настоящее
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/306777330/,Москва,sale,flat,23,42,2,46.0,23700000,-1,-1,-1,-1,-1,29 м²,9 м²,+79645648584,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
Victory estate,real_estate_agent,https://www.cian.ru/sale/flat/307850871/,Москва,sale,flat,30,53,2,65.4,29190000,2023,-1,-1,-1,-1,37 м²,13 м²,+79623678619,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/307587815/,Москва,sale,flat,8,15,2,55.3,11500000,2023,-1,-1,-1,-1,"31,6 м²","11,9 м²",+79850318241,, Гренадерская,9к1,Ольховая,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/308460943/,Москва,sale,flat,6,9,2,44.7,13050000,1963,-1,-1,-1,-1,27 м²,"6,1 м²",+79660638799,Нагатино-Садовники,Варшавское шоссе,53к1,Нагатинская,
,,https://www.cian.ru/sale/flat/305075761/,Москва,sale,flat,4,9,2,41.0,16500000,1967,-1,-1,-1,-1,30 м²,6 м²,+79153980792,Текстильщики,Волжский бульвар,12К1,Текстильщики,
САМОЛЕТ ПЛЮС,real_estate_agent,https://www.cian.ru/sale/flat/305093167/,Москва,sale,flat,23,30,2,55.8,18500000,2025,-1,-1,-1,Чистовая,"27,4 м²","9,5 м²",+79873701778,Покровское-Стрешнево,Строительный проезд,9С6,Трикотажная,Sky Garden
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/309205520/,Москва,sale,flat,5,22,2,59.4,23300000,1993,-1,-1,-1,-1,35 м²,"10,1 м²",+79857048937,Тропарево-Никулино,Никулинская ,19,Озёрная,
Марина Захарченко,realtor,https://www.cian.ru/sale/flat/307275348/,Москва,sale,flat,23,25,2,68.0,29600000,2020,-1,-1,-1,-1,-1,12 м²,+79067203573,, Татьянин Парк,19к3,Говорово,Татьянин Парк
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308335219/,Москва,sale,flat,15,23,2,100.8,42000000,2006,-1,-1,-1,-1,"51,7 м²","16,9 м²",+79652435417,Раменки, Пырьева,9к2,Поклонная,
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/305279096/,Москва,sale,flat,2,17,2,91.0,54000000,-1,-1,-1,-1,-1,-1,15 м²,+79154331109,Раменки, Пырьева,2,Поклонная,
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/297593550/,Москва,sale,flat,5,5,2,43.2,6900000,1982,-1,-1,-1,-1,"29,4 м²","7,3 м²",+79660479203,,,12,Апрелевка,
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280701170/,Москва,sale,flat,5,9,2,59.3,8200000,2024,-1,-1,-1,Без отделки,"31,7 м²","10,2 м²",+79154398945,, Луговая,,Крёкшино,Эдельвейс
А101,developer,https://www.cian.ru/sale/flat/306745854/,Москва,sale,flat,7,9,2,40.3,8994960,2025,-1,-1,-1,Без отделки,"17,5 м²","17,8 м²",+74951344536,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309188354/,Москва,sale,flat,1,12,2,52.72,9485699,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","22,1 м²","17,9 м²",+74997153345,,,6,Рассказовка,Квартал Западный ЖК
А101,developer,https://www.cian.ru/sale/flat/306746099/,Москва,sale,flat,3,19,2,53.1,9734202,2025,-1,-1,-1,Без отделки,"28,3 м²","9,3 м²",+74951344536,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/308314038/,Москва,sale,flat,7,13,2,36.1,10033417,2026,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая, чистовая","17,6 м²","13,5 м²",+74951379021,,,18.1.4,Бунинская аллея,Скандинавия ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309195362/,Москва,sale,flat,14,14,2,55.9,10393418,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая",26 м²,10 м²,+74999228924,,,к2,Филатов Луг,Цветочные Поляны
А101,developer,https://www.cian.ru/sale/flat/306743548/,Москва,sale,flat,2,12,2,41.7,10681580,2025,-1,-1,-1,Без отделки,"12,5 м²","17,7 м²",+74951374415,,,3.2,Новомосковская,Дзен-кварталы ЖК
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/302338028/,Москва,sale,flat,4,12,2,50.0,10950000,1970,-1,-1,-1,-1,"31,8 м²","8,8 м²",+79154398945,Выхино-Жулебино,Рязанский проспект,82К3,Юго-Восточная,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304058019/,Москва,sale,flat,2,20,2,52.8,11244043,2027,-1,"Панельный, монолитный",-1,"Без отделки, чистовая","22,5 м²",-1,+74951475836,,,3,Филатов Луг,Город-парк Первый Московский
АГРОСТРОЙ,developer,https://www.cian.ru/sale/flat/308260691/,Москва,sale,flat,1,3,2,58.0,11370900,2018,-1,-1,-1,Без отделки,-1,-1,+74951370792,, Николинские Ключи,41,Рассказовка,Ново-Никольское
ФСК,developer,https://www.cian.ru/sale/flat/307016133/,Москва,sale,flat,1,15,2,53.72,11573276,2025,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","27,4 м²","8,3 м²",+74951387180,,,к2,Солнцево,Движение. Говорово ЖК
А101,developer,https://www.cian.ru/sale/flat/306744046/,Москва,sale,flat,3,12,2,44.6,11898714,2025,-1,-1,-1,Без отделки,"22,1 м²","17,5 м²",+74951374415,,,4.3,Новомосковская,Дзен-кварталы ЖК
ПИК,developer,https://www.cian.ru/sale/flat/303987462/,Москва,sale,flat,15,25,2,48.6,11995549,2026,-1,Панельный,-1,Чистовая,"22,6 м²","16,7 м²",+74996487215,Крюково,Зеленоград,6.2,Зеленоград — Крюково,Зелёный парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306447297/,Москва,sale,flat,13,21,3,130.0,155000000,-1,-1,-1,-1,-1,-1,20 м²,+79154194704,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/308473224/,Москва,sale,flat,7,27,3,79.4,32239417,2024,-1,"Панельный, монолитный",-1,"Без отделки, чистовая","40,2 м²","12,5 м²",+74951378815,Щукино,,,Щукинская,Октябрьское Поле ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306947550/,Москва,sale,flat,3,6,3,72.0,30000000,1929,-1,-1,-1,-1,-1,14 м²,+79660641529,Тверской,Новослободская ,73К3,Савёловская,
Sminex,developer,https://www.cian.ru/sale/flat/304094878/,Москва,sale,flat,2,14,3,96.1,103530000,2027,-1,"Монолитно-кирпичный, монолитный",-1,Без отделки,"41,5 м²","25,2 м²",+74951377180,Пресненский,Электрический переулок,1с22,Белорусская,Элитный квартал Тишинский бульвар
MR Group,developer,https://www.cian.ru/sale/flat/307962179/,Москва,sale,flat,5,48,3,56.42,18057633,2027,-1,Монолитно-кирпичный,-1,Предчистовая,"20,4 м²",-1,+74951387212,Покровское-Стрешнево,Волоколамское шоссе,95/1к1,Трикотажная,City Bay
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/291925257/,Москва,sale,flat,3,9,3,148.5,189000000,-1,-1,-1,-1,-1,118 м²,-1,+79853420387,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Sminex,developer,https://www.cian.ru/sale/flat/306566195/,Москва,sale,flat,8,14,3,112.8,137820000,2028,-1,"Монолитно-кирпичный, монолитный",-1,Без отделки,"40,6 м²","29,1 м²",+74951377180,Пресненский,Электрический переулок,1кАБ,Белорусская,Элитный квартал Тишинский бульвар
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/294650793/,Москва,sale,flat,62,77,3,111.0,149000000,2019,-1,-1,-1,-1,-1,10 м²,+79684858420,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/306564372/,Москва,sale,flat,2,9,3,123.0,135000000,2004,-1,-1,-1,-1,-1,10 м²,+79099968126,Хамовники,переулок 1-й Тружеников,15,Киевская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300707953/,Москва,sale,flat,8,11,3,55.1,43000000,2022,-1,-1,-1,-1,35 м²,-1,+79660531281,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307087260/,Москва,sale,flat,3,6,3,74.0,46000000,-1,-1,-1,-1,-1,50 м²,8 м²,+79660469220,Хамовники,Погодинская ,20К5,Спортивная,
ID 117716491,homeowner,https://www.cian.ru/sale/flat/307620985/,Москва,sale,flat,12,17,3,75.0,23900000,1993,-1,-1,-1,-1,"45,9 м²","10,2 м²",+79162276592,Тропарево-Никулино,Никулинская ,15К3,Озёрная,
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/306892889/,Москва,sale,flat,5,22,3,73.4,20500000,1997,-1,-1,-1,-1,"44,4 м²",10 м²,+79153499386,Бескудниковский,Дмитровское шоссе,64К4,Верхние Лихоборы,
Главстрой,developer,https://www.cian.ru/sale/flat/296921048/,Москва,sale,flat,2,13,4,125.7,61997125,2024,-1,Монолитно-кирпичный,-1,Без отделки,"56,6 м²","36,2 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/288460497/,Москва,sale,flat,6,6,4,324.5,250000000,-1,-1,-1,-1,-1,-1,-1,+79197672046,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308120148/,Москва,sale,flat,8,8,4,110.0,46690000,1915,-1,-1,-1,-1,80 м²,"13,5 м²",+79645652605,Красносельский,Большая Сухаревская площадь,16/18С1,Сухаревская,
ANT Development,developer,https://www.cian.ru/sale/flat/303519424/,Москва,sale,flat,2,10,4,136.1,152135071,2024,-1,Монолитный,-1,Чистовая,-1,-1,+74951346248,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679511/,Москва,sale,flat,11,20,4,90.71,32501393,2024,-1,-1,-1,-1,"48,1 м²","8,2 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/308071697/,Москва,sale,flat,2,4,4,210.0,124970000,1990,-1,-1,-1,-1,-1,30 м²,+79660619967,Тверской,Петровский переулок,5С4,Пушкинская,
Пионер,developer,https://www.cian.ru/sale/flat/301460332/,Москва,sale,flat,7,32,4,114.8,70487200,2025,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+74951387048,Даниловский,,,Павелецкая,Хай Лайф ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308015928/,Москва,sale,flat,28,37,4,177.3,215000000,2024,-1,-1,-1,-1,-1,20 м²,+79660272578,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307823693/,Москва,sale,flat,11,15,4,103.7,50000000,1953,-1,-1,-1,-1,-1,-1,+79651509137,Замоскворечье,Валовая ,6,Павелецкая,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301911033/,Москва,sale,flat,18,20,4,127.0,74295000,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая",84 м²,"6,4 м²",+74951387097,Басманный,,,Бауманская,Дом 56 ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/293126875/,Москва,sale,flat,21,23,4,244.1,78000000,2007,-1,-1,-1,-1,-1,-1,+79197672046,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305864484/,Москва,sale,flat,21,23,4,143.3,170000000,2014,-1,-1,-1,-1,"124,2 м²","14,1 м²",+79651072117,Ясенево,Новоясеневский проспект,9,Ясенево,Новоясеневский
Hutton Development,developer,https://www.cian.ru/sale/flat/303616423/,Москва,sale,flat,4,6,4,240.0,528000000,2026,-1,-1,-1,Без отделки,-1,-1,+74951379715,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/304369940/,Москва,sale,flat,3,9,4,143.0,108900000,2021,-1,-1,-1,-1,90 м²,15 м²,+79660587093,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307151489/,Москва,sale,flat,4,5,4,98.5,46000000,1958,-1,-1,-1,-1,-1,22 м²,+79623610548,Тверской,2-й Волконский переулок,12,Цветной бульвар,
UNIQ Development,developer,https://www.cian.ru/sale/flat/307668413/,Москва,sale,flat,16,25,4,178.8,182376000,2027,-1,-1,-1,Чистовая,"155,1 м²",-1,+74951464743,Фили-Давыдково,Малая Филевская ,46,Кунцевская,Springs
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305881561/,Москва,sale,flat,3,9,4,142.5,108900000,-1,-1,-1,-1,-1,-1,10 м²,+79855162121,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308275177/,Москва,sale,flat,5,8,4,100.0,57000000,1954,-1,-1,-1,-1,75 м²,15 м²,+79689523570,Гагаринский, Строителей,6К6,Университет,
MR Group,developer,https://www.cian.ru/sale/flat/308088589/,Москва,sale,flat,5,7,4,257.83,747707000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая",60 м²,"21,3 м²",+74951389336,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306890254/,Москва,sale,flat,9,9,4,233.0,600000000,-1,-1,-1,-1,-1,-1,30 м²,+79639968605,Хамовники,Малая Пироговская ,8,Спортивная,Barrin House
BELFORT,real_estate_agent,https://www.cian.ru/sale/flat/307204736/,Москва,sale,flat,4,19,4,110.0,63000000,2021,-1,-1,-1,-1,85 м²,16 м²,+79660593738,Пресненский,Красногвардейский бульвар,15С2,Улица 1905 года,Счастье на Пресне
Пионер,developer,https://www.cian.ru/sale/flat/301459912/,Москва,sale,flat,14,18,4,112.8,111829581,2028,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,+74951370987,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/262233648/,Москва,sale,flat,5,6,4,157.0,250000000,2018,-1,-1,-1,-1,-1,-1,+79646328563,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/306604445/,Москва,sale,flat,6,7,4,160.0,99999000,1902,-1,-1,-1,-1,-1,22 м²,+79660513744,Тверской,Тверская ,27С2,Маяковская,
TOUCH,developer,https://www.cian.ru/sale/flat/305084568/,Москва,sale,flat,7,13,4,129.88,72452704,2024,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,+74951387101,Южнопортовый,,к2,Дубровка,Шампайн ЖК
Марина Кузьмина,realtor,https://www.cian.ru/sale/flat/306509125/,Москва,sale,flat,2,3,4,97.0,46500000,1917,-1,-1,-1,-1,72 м²,15 м²,+79851562819,Басманный, Машкова,11С1,Красные ворота,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/308099078/,Москва,sale,flat,21,21,4,106.0,69500000,2019,-1,-1,-1,-1,-1,10 м²,+79660480820,Лефортово,проезд Невельского,3к2,Авиамоторная,Символ
Пионер,developer,https://www.cian.ru/sale/flat/308640105/,Москва,sale,flat,4,11,4,178.6,167141024,2025,-1,Монолитно-кирпичный,-1,Без отделки,-1,-1,+74951387235,Даниловский,,,Павелецкая,Опус ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296282173/,Москва,sale,flat,5,21,4,222.8,111400000,2008,-1,-1,-1,-1,176 м²,25 м²,+79645644929,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
BELFORT,real_estate_agent,https://www.cian.ru/sale/flat/307204736/,Москва,sale,flat,4,19,4,110.0,63000000,2021,-1,-1,-1,-1,85 м²,16 м²,+79660593738,Пресненский,Красногвардейский бульвар,15С2,Улица 1905 года,Счастье на Пресне
Capital Group,developer,https://www.cian.ru/sale/flat/307881023/,Москва,sale,flat,17,18,4,152.4,162520646,2025,-1,-1,-1,Неизвестно,-1,-1,+74951374084,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/281590820/,Москва,sale,flat,3,14,4,200.0,430000000,-1,-1,-1,-1,-1,-1,-1,+79154194704,Хамовники, Усачева,11Г,Фрунзенская,Садовые кварталы
INGRAD,developer,https://www.cian.ru/sale/flat/306243654/,Москва,sale,flat,2,5,4,97.24,33689520,2023,-1,Монолитный,-1,"Без отделки, чистовая",-1,"5,9 м²",+74951370078,Нагорный,Электролитный проезд,7,Нагорная,TopHills
Capital Group,developer,https://www.cian.ru/sale/flat/300285570/,Москва,sale,flat,2,30,4,138.1,50372662,2020,-1,-1,-1,Без отделки,-1,-1,+74951377286,Якиманка,Мытная ,40к1,Серпуховская,Sky House
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309118695/,Москва,sale,flat,5,6,4,155.8,130000000,2016,-1,-1,-1,-1,88 м²,8 м²,+79853836287,Пресненский,Столярный переулок,3к34,Улица 1905 года,Рассвет Loft-Studio
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305176356/,Москва,sale,flat,3,13,4,93.0,78990000,-1,-1,-1,-1,-1,60 м²,20 м²,+79858655936,Раменки,Ломоносовский проспект,36,Ломоносовский проспект,Счастье на Ломоносовском
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306167204/,Москва,sale,flat,12,14,4,125.2,59500000,2022,-1,-1,-1,-1,73 м²,10 м²,+79645644723,Левобережный,,С2,Беломорская,Акватория ЖК
ФСК,developer,https://www.cian.ru/sale/flat/308422169/,Москва,sale,flat,5,52,4,85.6,43763000,2028,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","54,1 м²","7,1 м²",+74951387251,Хорошевский,3-й Хорошевский проезд,3А,,AMBER CITY
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303782861/,Москва,sale,flat,15,22,4,226.3,139900000,-1,-1,-1,-1,-1,-1,-1,+79160094181,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/308466875/,Москва,sale,flat,6,12,4,101.2,180000000,-1,-1,-1,-1,-1,-1,-1,+79057173890,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307386734/,Москва,sale,flat,5,19,4,92.0,53000000,-1,-1,-1,-1,-1,68 м²,18 м²,+79854621515,Богородское,1-я Мясниковская ,2,Белокаменная,Соколиный форт
ФСК,developer,https://www.cian.ru/sale/flat/303088352/,Москва,sale,flat,23,26,4,99.0,30120404,2027,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","53,5 м²","21,1 м²",+74951387223,Покровское-Стрешнево,,,Трикотажная,Скай Гарден ЖК
Tekta Group,developer,https://www.cian.ru/sale/flat/301425686/,Москва,sale,flat,23,34,4,98.2,39417480,2026,-1,Монолитно-кирпичный,-1,Без отделки,"62,2 м²",-1,+74951379105,Нагорный,,2,Нагорная,Твелв ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308695817/,Москва,sale,flat,23,24,4,123.0,95000000,2021,-1,-1,-1,-1,-1,-1,+79852532655,Фили-Давыдково,Кастанаевская ,66,Кунцевская,Shome
Донстрой,developer,https://www.cian.ru/sale/flat/307881026/,Москва,sale,flat,36,49,4,127.5,78272250,2025,-1,Монолитный,-1,Без отделки,"55,2 м²","27,4 м²",+74951387177,Раменки,Кинематографический кв-л,,Мичуринский проспект,Событие ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308599011/,Москва,sale,flat,2,6,4,166.2,350000000,2020,-1,-1,-1,-1,-1,-1,+79057118194,Хамовники,Пожарский переулок,3,Кропоткинская,Villa Grace
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/300891173/,Москва,sale,flat,34,57,4,180.0,203811299,2007,-1,-1,-1,-1,-1,15 м²,+79684858420,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
MR Group,developer,https://www.cian.ru/sale/flat/306068026/,Москва,sale,flat,53,57,4,102.06,63736470,2024,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,+74951387228,Филевский парк,,,Фили,Фили Сити ЖК
Est-a-Tet Агент,real_estate_agent,https://www.cian.ru/sale/flat/308163135/,Москва,sale,flat,13,28,4,106.9,50000000,2022,-1,-1,-1,-1,-1,22 м²,+79104120388,Раменки,Винницкая ,8к1,Раменки,Настоящее
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304597500/,Москва,sale,flat,3,7,4,227.0,970529999,2017,-1,-1,-1,-1,"109,7 м²","21,5 м²",+79160423858,Хамовники, Ефремова,19к2,Спортивная,Knightsbridge Private Park
КОРТРОС,developer,https://www.cian.ru/sale/flat/307710680/,Москва,sale,flat,38,41,4,88.97,40322983,2024,-1,Монолитно-кирпичный,-1,Без отделки,"46,2 м²",-1,+74997150399,Пресненский,Шмитовский проезд,39к5,Шелепиха,Headliner
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307945191/,Москва,sale,flat,18,20,4,199.4,239280000,2024,-1,-1,-1,-1,-1,20 м²,+79850141998,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299368091/,Москва,sale,flat,14,15,4,220.0,378506699,-1,-1,-1,-1,-1,114 м²,28 м²,+79160239691,Дорогомилово,Студенческая ,20к1,Студенческая,Студенческая 20
Имена,developer,https://www.cian.ru/sale/flat/292406468/,Москва,sale,flat,10,14,4,121.36,148059200,2026,-1,Монолитно-кирпичный,-1,Предчистовая,50 м²,"41,6 м²",+74951346380,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/305270270/,Москва,sale,flat,12,16,4,177.0,170000000,-1,-1,-1,-1,-1,90 м²,30 м²,+79672092511,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
INGRAD,developer,https://www.cian.ru/sale/flat/307732463/,Москва,sale,flat,14,33,4,100.9,33866850,2027,-1,Монолитный,-1,"Без отделки, предчистовая",-1,"16,4 м²",+74951375512,Войковский,,,Балтийская,Инджой ЖК
Донстрой,developer,https://www.cian.ru/sale/flat/308969984/,Москва,sale,flat,42,49,4,129.6,58786560,2025,-1,Монолитный,-1,Без отделки,"42,7 м²","43,5 м²",+74951387177,Раменки,Кинематографический кв-л,,Мичуринский проспект,Событие ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307822553/,Москва,sale,flat,4,4,4,240.5,340170764,-1,-1,-1,-1,-1,134 м²,16 м²,+79672093665,Раменки,Минская ,2Вк6,Минская,Снегири Эко
Стоун Бридж эстейт,real_estate_agent,https://www.cian.ru/sale/flat/307182856/,Москва,sale,flat,22,26,4,130.7,120000000,-1,-1,-1,-1,-1,-1,-1,+79164436734,Кунцево,Рублевское шоссе,101,Молодёжная,Vander Park
MR Group,developer,https://www.cian.ru/sale/flat/307999480/,Москва,sale,flat,44,59,4,85.6,29994240,2028,-1,-1,-1,Без отделки,"51,8 м²",-1,+74951346358,Можайский,Верейская ,29С32А,Давыдково,SET
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306063534/,Москва,sale,flat,7,20,4,178.0,77000000,-1,-1,-1,-1,-1,-1,10 м²,+79057198567,Черемушки,Новочеремушкинская ,44К3,Профсоюзная,Адмирал
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306872863/,Москва,sale,flat,11,12,4,254.0,320000000,2001,-1,-1,-1,-1,151 м²,25 м²,+79645387315,Пресненский,Шведский тупик,3,Тверская,
Главстрой,developer,https://www.cian.ru/sale/flat/307942268/,Москва,sale,flat,32,38,4,155.77,77885000,2027,-1,Монолитный,-1,Без отделки,"88,4 м²","10,2 м²",+74951387141,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/306110367/,Москва,sale,flat,5,10,4,155.0,117160000,2021,-1,-1,-1,-1,-1,-1,+79164407085,Раменки, Сергея Бондарчука,6,Мичуринский проспект,Река
TWEED,real_estate_agent,https://www.cian.ru/sale/flat/284201268/,Москва,sale,flat,4,5,4,73.5,67937099,1913,-1,-1,-1,-1,-1,-1,+79160586941,Мещанский,Большой Сергиевский переулок,18,Трубная,
КОРТРОС,developer,https://www.cian.ru/sale/flat/306568019/,Москва,sale,flat,5,26,4,90.6,38323800,2024,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая",68 м²,-1,+74951375236,Останкинский,,,Алексеевская,АйЛав ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303390440/,Москва,sale,flat,12,16,4,177.0,170000000,2022,-1,-1,-1,-1,60 м²,58 м²,+79660504300,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
RMRealty,real_estate_agent,https://www.cian.ru/sale/flat/307624266/,Москва,sale,flat,4,4,4,152.0,63850000,1917,-1,-1,-1,-1,-1,35 м²,+79852068469,Замоскворечье,Большая Серпуховская ,44,Серпуховская,
Tekta Group,developer,https://www.cian.ru/sale/flat/301261729/,Москва,sale,flat,22,34,4,82.9,41673830,2025,-1,Монолитный,-1,"Без отделки, предчистовая","52,3 м²",-1,+74951387095,Обручевский,,,Воронцовская,Эвер ЖК
